,IV,b-even_Price,contract,diff,h_return,l_return,last price,return,strike,volume
BAC171208C00023500,0.5215,28.02,CALL,-4.140000000000001,0.0,-75.9999999999998,4.52,-37.9999999999999,23.5,10
BAC171208C00025000,0.4219,27.990000000000002,CALL,-2.6400000000000006,3.0000000000001137,-72.99999999999969,2.99,-35.00000000000014,25.0,7
BAC171208C00025500,0.3848,27.91,CALL,-2.1400000000000006,10.999999999999943,-64.99999999999986,2.41,-26.999999999999957,25.5,3
BAC171208C00026500,0.3247,28.08,CALL,-1.1400000000000006,-6.000000000000227,-82.00000000000003,1.58,-43.99999999999977,26.5,30
BAC171208C00027000,0.30269999999999997,28.22,CALL,-0.6400000000000006,-19.99999999999993,-95.99999999999973,1.22,-57.99999999999983,27.0,35
BAC171208C00027500,0.24710000000000001,28.31,CALL,-0.14000000000000057,-28.999999999999915,-104.99999999999972,0.81,-66.99999999999982,27.5,48
BAC171208C00028000,0.23829999999999998,28.54,CALL,0.35999999999999943,-51.99999999999996,-127.99999999999976,0.54,-89.99999999999986,28.0,224
BAC171208C00028500,0.231,28.9,CALL,0.8599999999999994,-87.9999999999999,-163.99999999999972,0.4,-125.9999999999998,28.5,41
BAC171208C00029000,0.2217,29.25,CALL,1.3599999999999994,-123.00000000000004,-198.99999999999983,0.25,-160.99999999999994,29.0,7
BAC171208C00029500,0.22460000000000002,29.62,CALL,1.8599999999999994,-160.00000000000014,-235.99999999999994,0.12,-198.00000000000006,29.5,1
BAC171208C00030000,0.2422,30.12,CALL,2.3599999999999994,-210.00000000000014,-285.99999999999994,0.12,-248.00000000000006,30.0,20
BAC171208C00031000,0.2441,31.05,CALL,3.3599999999999994,-303.0000000000001,-378.9999999999999,0.05,-341.0,31.0,10
BAC171208P00021000,0.41409999999999997,20.97,PUT,-6.640000000000001,-629.0000000000002,-705.0000000000001,0.03,-667.0000000000002,21.0,5
BAC171208P00025000,0.23829999999999998,24.89,PUT,-2.6400000000000006,-237.0000000000001,-312.9999999999999,0.11,-275.0,25.0,60
BAC171208P00025500,0.2339,25.32,PUT,-2.1400000000000006,-194.0000000000001,-269.99999999999994,0.18,-232.00000000000003,25.5,6
BAC171208P00026000,0.2266,25.77,PUT,-1.6400000000000006,-149.0000000000002,-225.0,0.23,-187.0000000000001,26.0,14
BAC171208P00026500,0.21780000000000002,26.1,PUT,-1.1400000000000006,-116.00000000000001,-191.99999999999983,0.4,-153.99999999999991,26.5,1
BAC171208P00027000,0.20850000000000002,26.42,PUT,-0.6400000000000006,-83.99999999999999,-159.99999999999977,0.58,-121.99999999999989,27.0,57
BAC171208P00027500,0.2022,26.74,PUT,-0.14000000000000057,-52.00000000000031,-128.0000000000001,0.76,-90.00000000000021,27.5,24
BAC171208P00028000,0.1709,27.11,PUT,0.35999999999999943,-15.000000000000213,-91.00000000000001,0.89,-53.000000000000114,28.0,7
BAC171208P00028500,0.1572,27.31,PUT,0.8599999999999994,4.999999999999716,-71.00000000000009,1.19,-33.000000000000185,28.5,2
